epoch,max_memory_allocated,max_memory_reserved,step,train_loss,training_time,val/ce_l4plus_base,val/ce_l4plus_fused,val/ce_loss,val/ce_loss_l4plus,val/loss,val/scheme_d_gate_entropy,val/scheme_d_gate_mean,val/scheme_d_gate_polar_penalty,val/scheme_d_gate_std,val/scheme_d_loss_acoustic_l4plus,val/scheme_d_loss_final_l4plus,val/scheme_d_loss_reg_latent,val/scheme_h_temp,val_loss
0,,,29,,,5.880916595458984,5.877856254577637,4.7322235107421875,5.880916595458984,8.435942649841309,-0.6878806948661804,0.44873046875,0.247314453125,0.0,6.930356979370117,5.877856254577637,0.9755781888961792,0.2999996244907379,8.435942649841309
0,,,29,8.159384727478027,,,,,,,,,,,,,,,
,,,0,,66.31199999999808,,,,,,,,,,,,,,
,976743936,1180696576,1,,,,,,,,,,,,,,,,
