epoch,max_memory_allocated,max_memory_reserved,step,train/alpha_high,train/alpha_low,train/ce_loss,train/ce_loss_l4plus,train/direct_res_loss,train/loss,train/scheme_d_gate_entropy,train/scheme_d_gate_mean,train/scheme_d_gate_polar_penalty,train/scheme_d_gate_std,train/scheme_d_loss_acoustic_l4plus,train/scheme_d_loss_final_l4plus,train/scheme_h_temp,train/si_sdr_loss,train/spec_loss,train/wave_l1,train_loss,training_time,val/alpha_high,val/alpha_low,val/ce_loss,val/ce_loss_l4plus,val/direct_res_loss,val/loss,val/scheme_d_gate_entropy,val/scheme_d_gate_mean,val/scheme_d_gate_polar_penalty,val/scheme_d_gate_std,val/scheme_d_loss_acoustic_l4plus,val/scheme_d_loss_final_l4plus,val/scheme_h_temp,val/si_sdr_loss,val/spec_loss,val/wave_l1,val_loss
0,,,49,0.05005428567528725,0.050052542239427567,4.80800724029541,5.552404880523682,0.9884360432624817,11.271627426147461,-0.6675233840942383,0.399658203125,0.2374267578125,0.0501708984375,6.952548980712891,5.676307678222656,0.9265000224113464,-2.2865660190582275,0.9274661540985107,0.35173335671424866,,,,,,,,,,,,,,,,,,,
0,,,99,0.05005428567528725,0.050052542239427567,4.435773849487305,5.154409408569336,1.0087134838104248,11.392131805419922,-0.6665653586387634,0.4072265625,0.2369384765625,0.066650390625,6.9609375,5.3723464012146,0.8514999747276306,-0.02246028184890747,0.9065643548965454,0.33574414253234863,,,,,,,,,,,,,,,,,,,
0,,,149,0.05005428567528725,0.050052542239427567,4.842433452606201,5.608792304992676,0.9899184703826904,11.515578269958496,-0.6530051231384277,0.37646484375,0.23046875,0.06573486328125,6.964672565460205,5.69832181930542,0.7764999866485596,-1.3920080661773682,0.888077974319458,0.38879236578941345,,,,,,,,,,,,,,,,,,,
0,,,199,0.05005428567528725,0.050052542239427567,4.502528190612793,5.303009510040283,0.9986982345581055,10.635778427124023,-0.6251494288444519,0.326416015625,0.217041015625,0.053070068359375,6.946450233459473,5.406742572784424,0.7014999985694885,-3.3967761993408203,0.8648796677589417,0.3062027096748352,,,,,,,,,,,,,,,,,,,
0,,,249,0.05005428567528725,0.050052542239427567,3.492314577102661,4.618531703948975,0.9988542199134827,11.003927230834961,-0.6587435007095337,0.443603515625,0.2332763671875,0.1163330078125,6.993943691253662,4.946101188659668,0.6265000104904175,-0.1691010296344757,0.8827482461929321,0.37780725955963135,,,,,,,,,,,,,,,,,,,
0,,,299,0.05005428567528725,0.050052542239427567,4.474063396453857,5.321310043334961,0.9887240529060364,10.76736068725586,-0.6178316473960876,0.32470703125,0.2138671875,0.07415771484375,6.973321914672852,5.459301471710205,0.5515000224113464,-3.4407217502593994,0.8769652247428894,0.34212151169776917,,,,,,,,,,,,,,,,,,,
0,,,299,,,,,,,,,,,,,,,,,,,0.050013311207294464,0.05001329630613327,4.198502063751221,4.740781784057617,1.006110668182373,10.907267570495605,-0.6787570714950562,0.45361328125,0.242919921875,0.06927490234375,6.9147138595581055,5.111294269561768,0.550000011920929,-1.5827502012252808,0.9230244159698486,0.38480740785598755,10.907267570495605
0,,,299,,,,,,,,,,,,,,,,,11.220780372619629,,,,,,,,,,,,,,,,,,
1,,,349,0.05005428567528725,0.050052542239427567,5.023041248321533,5.704066276550293,0.9884361028671265,11.357332229614258,-0.6076139211654663,0.316650390625,0.2093505859375,0.08367919921875,6.9530744552612305,5.758566379547119,0.476500004529953,-2.2865660190582275,0.9274663329124451,0.35173335671424866,,,,,,,,,,,,,,,,,,,
1,,,399,0.05005428567528725,0.050052542239427567,4.6910400390625,5.283719539642334,1.0087136030197144,11.493135452270508,-0.5939139127731323,0.321044921875,0.2037353515625,0.119384765625,6.954661846160889,5.472551345825195,0.40149998664855957,-0.022460222244262695,0.9065641164779663,0.33574414253234863,,,,,,,,,,,,,,,,,,,
1,,,449,0.05005428567528725,0.050052542239427567,4.804286003112793,5.484982967376709,0.9899184703826904,11.353902816772461,-0.5215139389038086,0.2469482421875,0.172119140625,0.11785888671875,6.953332901000977,5.534995079040527,0.3264999985694885,-1.392007827758789,0.8880783319473267,0.38879236578941345,,,,,,,,,,,,,,,,,,,
1,,,499,0.05005428567528725,0.050052542239427567,4.444999694824219,5.2267022132873535,0.9986982345581055,10.47651481628418,-0.3652344346046448,0.1314697265625,0.1083984375,0.07635498046875,6.9410858154296875,5.235025405883789,0.2515000104904175,-3.3967761993408203,0.8648800849914551,0.3062027096748352,,,,,,,,,,,,,,,,,,,
1,,,549,0.05005428567528725,0.050052542239427567,3.6989805698394775,4.775728702545166,0.9988542199134827,11.136494636535645,-0.4666222929954529,0.374267578125,0.1533203125,0.284912109375,6.979987621307373,5.074432849884033,0.17649999260902405,-0.16910085082054138,0.8827468752861023,0.37780725955963135,,,,,,,,,,,,,,,,,,,
1,,,599,0.05005428567528725,0.050052542239427567,4.937697410583496,5.719723701477051,0.9887239336967468,11.028937339782715,-0.15727628767490387,0.0562744140625,0.04315185546875,0.09991455078125,6.946442604064941,5.705342769622803,0.1014999970793724,-3.4407215118408203,0.8769646883010864,0.34212151169776917,,,,,,,,,,,,,,,,,,,
1,,,599,,,,,,,,,,,,,,,,,,,0.05002361908555031,0.050023604184389114,4.202752113342285,5.552285194396973,1.0060198307037354,11.438135147094727,-0.4014807641506195,0.22821044921875,0.127227783203125,0.2103271484375,6.958522796630859,5.604252815246582,0.10000000149011612,-1.582831621170044,0.9229812622070312,0.3848053216934204,11.438135147094727
1,,,599,,,,,,,,,,,,,,,,,11.198598861694336,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,367.0470000000005,,,,,,,,,,,,,,,,,
,1029913088,1203765248,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
