epoch,max_memory_allocated,max_memory_reserved,step,train/alpha_high,train/alpha_low,train/ce_loss,train/ce_loss_l4plus,train/direct_res_loss,train/loss,train/scheme_d_gate_entropy,train/scheme_d_gate_mean,train/scheme_d_gate_polar_penalty,train/scheme_d_gate_std,train/scheme_d_loss_final_l4plus,train/scheme_post3_loss,train/si_sdr_loss,train/spec_loss,train/wave_l1,train_loss,training_time,val/alpha_high,val/alpha_low,val/ce_loss,val/ce_loss_l4plus,val/direct_res_loss,val/loss,val/scheme_d_gate_entropy,val/scheme_d_gate_mean,val/scheme_d_gate_polar_penalty,val/scheme_d_gate_std,val/scheme_d_loss_final_l4plus,val/scheme_post3_loss,val/si_sdr_loss,val/spec_loss,val/wave_l1,val_loss
0,,,49,0.05003724992275238,0.050036706030368805,4.808017253875732,5.552405834197998,0.9885441660881042,7.984041690826416,-0.0,0.5,0.0,0.5006261467933655,5.821822166442871,5.821822166442871,-2.286393642425537,0.9274812936782837,0.3517363369464874,,,,,,,,,,,,,,,,,,
0,,,99,0.05003724992275238,0.050036706030368805,4.435770034790039,5.154422283172607,1.0088108777999878,8.154060363769531,-0.0,0.5,0.0,0.5006261467933655,5.571638107299805,5.571638107299805,-0.022332191467285156,0.9065858125686646,0.33574581146240234,,,,,,,,,,,,,,,,,,
0,,,149,0.05003724992275238,0.050036706030368805,4.842430591583252,5.608797073364258,0.9900225400924683,8.231663703918457,-0.0,0.5,0.0,0.5006261467933655,5.854302406311035,5.854302406311035,-1.391916036605835,0.8881320953369141,0.38879504799842834,,,,,,,,,,,,,,,,,,
0,,,199,0.05003724992275238,0.050036706030368805,4.502539157867432,5.303012847900391,0.9988164901733398,7.569576740264893,-0.0,0.5,0.0,0.5006262063980103,5.772759437561035,5.772759437561035,-3.3966431617736816,0.864919900894165,0.30620497465133667,,,,,,,,,,,,,,,,,,
0,,,249,0.05003724992275238,0.050036706030368805,3.49232816696167,4.618521213531494,0.9989733695983887,8.187040328979492,-0.0,0.5,0.0,0.5006262063980103,5.583474159240723,5.583474159240723,-0.16901150345802307,0.8827773332595825,0.3778086006641388,,,,,,,,,,,,,,,,,,
0,,,299,0.05003724992275238,0.050036706030368805,4.47407865524292,5.321323871612549,0.9888340830802917,7.627724647521973,-0.0,0.5,0.0,0.5012547373771667,5.765777111053467,5.765777111053467,-3.4406418800354004,0.8769962787628174,0.34212303161621094,,,,,,,,,,,,,,,,,,
0,,,299,,,,,,,,,,,,,,,,,,0.05000731721520424,0.05000731721520424,4.1985015869140625,4.740781784057617,1.0061328411102295,7.448283672332764,0.0,0.5,0.0,0.5050762891769409,5.066061019897461,5.066061019897461,-1.5827230215072632,0.9230182766914368,0.38480812311172485,7.448283672332764
0,,,299,,,,,,,,,,,,,,,,8.000894546508789,,,,,,,,,,,,,,,,,
1,,,349,0.05003724992275238,0.050036706030368805,5.02305269241333,5.704070568084717,0.9885442852973938,8.144681930541992,-0.0,0.5,0.0,0.5006261467933655,5.9824628829956055,5.9824628829956055,-2.286393642425537,0.9274802207946777,0.3517363369464874,,,,,,,,,,,,,,,,,,
1,,,399,0.05003724992275238,0.050036706030368805,4.691023826599121,5.2837066650390625,1.0088108777999878,8.36865520477295,-0.0,0.5,0.0,0.5006261467933655,5.786232948303223,5.786232948303223,-0.022332191467285156,0.9065859317779541,0.33574581146240234,,,,,,,,,,,,,,,,,,
1,,,449,0.05003724992275238,0.050036706030368805,4.8042778968811035,5.484982967376709,0.9900225400924683,8.2063627243042,-0.0,0.5,0.0,0.5006261467933655,5.829000949859619,5.829000949859619,-1.391916275024414,0.8881323337554932,0.38879504799842834,,,,,,,,,,,,,,,,,,
1,,,499,0.05003724992275238,0.050036706030368805,4.444993019104004,5.226700782775879,0.9988164305686951,7.341630458831787,-0.0,0.5,0.0,0.5006261467933655,5.54481315612793,5.54481315612793,-3.3966431617736816,0.8649194836616516,0.30620497465133667,,,,,,,,,,,,,,,,,,
1,,,549,0.05003724992275238,0.050036706030368805,3.6989829540252686,4.7757110595703125,0.9989734292030334,8.066747665405273,-0.0,0.5,0.0,0.5006262063980103,5.463181972503662,5.463181972503662,-0.16901156306266785,0.8827768564224243,0.3778086006641388,,,,,,,,,,,,,,,,,,
1,,,599,0.05003724992275238,0.050036706030368805,4.9376983642578125,5.719723701477051,0.9888341426849365,7.9561357498168945,-0.0,0.5,0.0,0.5012547373771667,6.0941877365112305,6.0941877365112305,-3.4406418800354004,0.8769959211349487,0.3421230614185333,,,,,,,,,,,,,,,,,,
1,,,599,,,,,,,,,,,,,,,,,,0.05001393333077431,0.05001393333077431,4.202748775482178,5.552285671234131,1.0060606002807617,8.067171096801758,0.0,0.5,0.0,0.5050762891769409,5.68502140045166,5.68502140045166,-1.5827805995941162,0.9230316877365112,0.3848065733909607,8.067171096801758
1,,,599,,,,,,,,,,,,,,,,8.024213790893555,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,358.59399999999914,,,,,,,,,,,,,,,,
,1025206784,1201668096,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
