epoch,max_memory_allocated,max_memory_reserved,step,train/alpha_high,train/alpha_low,train/ce_loss,train/ce_loss_l4plus,train/direct_res_loss,train/loss,train/scheme_d_loss_final_l4plus,train/scheme_post3_loss,train/si_sdr_loss,train/spec_loss,train/wave_l1,train_loss,training_time,val/alpha_high,val/alpha_low,val/ce_loss,val/ce_loss_l4plus,val/direct_res_loss,val/loss,val/scheme_d_loss_final_l4plus,val/scheme_post3_loss,val/si_sdr_loss,val/spec_loss,val/wave_l1,val_loss
0,,,49,0.05012131854891777,0.05012635514140129,4.808003902435303,5.552396774291992,0.9872884154319763,9.100058555603027,6.939432144165039,6.939432144165039,-2.2877023220062256,0.9274457693099976,0.35171669721603394,,,,,,,,,,,,,,
0,,,99,0.05028362572193146,0.050318919122219086,4.4357757568359375,5.154414176940918,0.9839547276496887,9.490516662597656,6.9346923828125,6.9346923828125,-0.029400557279586792,0.9063636660575867,0.3356931209564209,,,,,,,,,,,,,,
0,,,149,0.0504278764128685,0.05054148659110069,4.842433452606201,5.608802318572998,0.9631302952766418,9.26531982421875,6.918011665344238,6.918011665344238,-1.4029159545898438,0.8875026106834412,0.388629287481308,,,,,,,,,,,,,,
0,,,199,0.05064490810036659,0.050811588764190674,4.50253438949585,5.303014755249023,0.9628819227218628,8.596532821655273,6.842074394226074,6.842074394226074,-3.429838180541992,0.8660386204719543,0.30575257539749146,,,,,,,,,,,,,,
0,,,249,0.05091748386621475,0.05109979584813118,3.4923174381256104,4.618541717529297,0.9639847278594971,9.453385353088379,6.896615028381348,6.896615028381348,-0.21872052550315857,0.8821871280670166,0.3771713674068451,,,,,,,,,,,,,,
0,,,299,0.051194339990615845,0.05139530822634697,4.474067687988281,5.321304798126221,0.9594892859458923,8.710147857666016,6.893082141876221,6.893082141876221,-3.505833864212036,0.876422107219696,0.34116071462631226,,,,,,,,,,,,,,
0,,,299,,,,,,,,,,,,,,0.05013671889901161,0.05016420781612396,4.198504447937012,4.740779399871826,1.005721926689148,9.281875610351562,6.900458335876465,6.900458335876465,-1.5839297771453857,0.9229114055633545,0.3847850561141968,9.281875610351562
0,,,299,,,,,,,,,,,,9.095369338989258,,,,,,,,,,,,,
1,,,349,0.05150531977415085,0.05170563980937004,5.023046493530273,5.70407247543335,0.9544691443443298,8.892019271850586,6.803300857543945,6.803300857543945,-2.4533262252807617,0.9273834228515625,0.34876546263694763,,,,,,,,,,,,,,
1,,,399,0.051808152347803116,0.05200757458806038,4.69104528427124,5.283722877502441,0.9775457382202148,9.319761276245117,6.820807456970215,6.820807456970215,-0.25757426023483276,0.9067690372467041,0.3330768346786499,,,,,,,,,,,,,,
1,,,449,0.052095167338848114,0.052300866693258286,4.804287433624268,5.484978675842285,0.9522960186004639,9.060257911682129,6.765530109405518,6.765530109405518,-1.5827927589416504,0.8884530067443848,0.38526856899261475,,,,,,,,,,,,,,
1,,,499,0.05239254981279373,0.05259093642234802,4.445010662078857,5.226715087890625,0.9504479765892029,8.331037521362305,6.6550726890563965,6.6550726890563965,-3.7408359050750732,0.873176634311676,0.3002534806728363,,,,,,,,,,,,,,
1,,,549,0.05268789455294609,0.05287221819162369,3.6989736557006836,4.775731563568115,0.9435597062110901,9.240671157836914,6.770955562591553,6.770955562591553,-0.5155687928199768,0.8854510188102722,0.3719094395637512,,,,,,,,,,,,,,
1,,,599,0.05296926200389862,0.05314593389630318,4.937687873840332,5.719727516174316,0.9434760808944702,8.508328437805176,6.770737171173096,6.770737171173096,-3.79097843170166,0.8803879022598267,0.335961252450943,,,,,,,,,,,,,,
1,,,599,,,,,,,,,,,,,,0.05065017193555832,0.0507199764251709,4.202752113342285,5.552288055419922,1.0042616128921509,9.292064666748047,6.912946701049805,6.912946701049805,-1.5943315029144287,0.9245031476020813,0.384610116481781,9.292064666748047
1,,,599,,,,,,,,,,,,8.89234733581543,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,356.17199999999866,,,,,,,,,,,,
,1025180160,1201668096,1,,,,,,,,,,,,,,,,,,,,,,,,,
