exp,val_cont_front3_ce,val_cont_loss_coarse,val_cont_loss_enhanced,val_cont_loss_noisy,val_loss,pesq,sdr,si_sdr
exp5_front3_coarse,3.9057412147521973,31.999332427978516,31.996715545654297,-3.1526236534118652,49.24103546142578,1.61,-0.2,-5.99
exp6_noisy_coarse,3.905740261077881,-3.1526236534118652,-3.15262508392334,-3.1526236534118652,4.803828716278076,1.61,-0.2,-5.99
exp7_noisy_coarse_lr6e6,3.905740737915039,-3.1526236534118652,-3.1526236534118652,-3.1526236534118652,4.803831577301025,1.61,-0.2,-5.99
